"","","cofip_sub","cofip_nbr_nbr"
"843",1999,36003,42035
"844",1999,36003,42081
"845",1999,24043,42061
"846",1999,24043,42041
"847",1999,24043,42067
"848",1999,24043,42099
"849",1999,24043,51061
"850",1999,24043,51153
"851",1999,36009,42047
"852",1999,36009,42053
"853",1999,36009,42121
"854",1999,36009,42023
"855",1999,34021,42077
"856",1999,34021,42091
"857",1999,39155,42019
"858",1999,39155,42121
"859",1999,34019,42077
"860",1999,34019,42091
"861",1999,24005,42041
"862",1999,24005,42043
"863",1999,34005,42091
"864",1999,34005,42077
"865",1999,36101,42081
"866",1999,36101,42023
"867",1999,36101,42035
"868",1999,34007,42091
"869",1999,9011,36103
"870",1999,37161,45087
"871",1999,37161,45059
"872",1999,37155,45041
"873",1999,37155,45067
"874",1999,37155,45031
"875",1999,37155,45043
"876",1999,37089,45059
"877",1999,37175,45059
"878",1999,13033,45063
"879",1999,13033,45075
"880",1999,13033,45081
"881",1999,13033,45009
"882",1999,13033,45029
"883",1999,13051,45013
"884",1999,37153,45031
"885",1999,37153,45041
"886",1999,37153,45055
"887",1999,37045,45087
"888",1999,37045,45023
"889",1999,37149,45059
"890",1999,37149,45087
"891",1999,37179,45023
"892",1999,37179,45039
"893",1999,37179,45055
"894",1999,37179,45031
"895",1999,13181,45047
"896",1999,13251,45009
"897",1999,13251,45029
"898",1999,13251,45013
"899",1999,13073,45047
"900",1999,13073,45081
"901",1999,13147,45059
"902",1999,37119,45023
"903",1999,37119,45087
"904",1999,37119,45039
"905",1999,37119,45055
"906",1999,13103,45013
"907",1999,13103,45009
"908",1999,13103,45029
"909",1999,13245,45047
"910",1999,13245,45081
"911",1999,13245,45063
"912",1999,13245,45075
"913",1999,37007,45031
"914",1999,37007,45041
"915",1999,37007,45055
"916",1999,13105,45047
"917",1999,13105,45059
"918",1999,37019,45043
"919",1999,37019,45067
"920",1999,37047,45043
"921",1999,37047,45067
"922",1999,37047,45041
"923",1999,37165,45031
"924",1999,37165,45041
"925",1999,37071,45023
"926",1999,37071,45087
"927",1999,38051,46129
"928",1999,38051,46045
"929",1999,31031,46071
"930",1999,31031,46095
"931",1999,31031,46085
"932",1999,27133,46079
"933",1999,27133,46087
"934",1999,27133,46125
"935",1999,27117,46079
"936",1999,27117,46057
"937",1999,27117,46077
"938",1999,27117,46087
"939",1999,27117,46125
"940",1999,27073,46029
"941",1999,27073,46037
"942",1999,27073,46057
"943",1999,38081,46037
"944",1999,38081,46045
"945",1999,38081,46049
"946",1999,38081,46115
"947",1999,27081,46079
"948",1999,27081,46029
"949",1999,27081,46057
"950",1999,27081,46077
"951",1999,38001,46093
"952",1999,38001,46137
"953",1999,38001,46041
"954",1999,38001,46129
"955",1999,31027,46125
"956",1999,31027,46067
"957",1999,31051,46125
"958",1999,31107,46067
"959",1999,31107,46003
"960",1999,31107,46015
"961",1999,31107,46043
"962",1999,31107,46085
"963",1999,31107,46125
"964",1999,31015,46003
"965",1999,31015,46015
"966",1999,31015,46043
"967",1999,31015,46067
"968",1999,31015,46085
"969",1999,38085,46041
"970",1999,38085,46129
"971",1999,38085,46137
"972",1999,38029,46041
"973",1999,38029,46129
"974",1999,38029,46137
"975",1999,38021,46037
"976",1999,38021,46045
"977",1999,38021,46049
"978",1999,38021,46115
"979",1999,38021,46129
"980",1999,30011,46093
"981",1999,31103,46085
"982",1999,31103,46095
