"","cofip_sub","cofip_nbr_nbr","id"
"1216",13103,45029,1310345029
"1217",13245,45047,1324545047
"1218",13245,45081,1324545081
"1219",13245,45063,1324545063
"1220",13245,45075,1324545075
"1222",37007,45031,3700745031
"1223",37007,45041,3700745041
"1225",37007,45055,3700745055
"1226",13105,45047,1310545047
"1227",13105,45059,1310545059
"1230",37019,45043,3701945043
"1231",37019,45067,3701945067
"1232",37047,45043,3704745043
"1233",37047,45067,3704745067
"1234",37047,45041,3704745041
"1236",37165,45031,3716545031
"1237",37165,45041,3716545041
"1238",37071,45023,3707145023
"1239",37071,45087,3707145087
"1240",38051,46129,3805146129
"1241",38051,46045,3805146045
"1243",31031,46071,3103146071
"1245",31031,46095,3103146095
"1246",31031,46085,3103146085
"1250",27133,46079,2713346079
"1252",27133,46087,2713346087
"1253",27133,46125,2713346125
"1254",27117,46079,2711746079
"1255",27117,46057,2711746057
"1256",27117,46077,2711746077
"1259",27117,46087,2711746087
"1260",27117,46125,2711746125
"1261",27073,46029,2707346029
"1262",27073,46037,2707346037
"1264",27073,46057,2707346057
"1267",38081,46037,3808146037
"1268",38081,46045,3808146045
"1269",38081,46049,3808146049
"1270",38081,46115,3808146115
"1273",27081,46079,2708146079
"1274",27081,46029,2708146029
"1275",27081,46057,2708146057
"1277",27081,46077,2708146077
"1279",38001,46093,3800146093
"1280",38001,46137,3800146137
"1281",38001,46041,3800146041
"1282",38001,46129,3800146129
"1284",31027,46125,3102746125
"1285",31027,46067,3102746067
"1287",31051,46125,3105146125
"1288",31107,46067,3110746067
"1289",31107,46003,3110746003
"1290",31107,46015,3110746015
"1291",31107,46043,3110746043
"1293",31107,46085,3110746085
"1295",31107,46125,3110746125
"1296",31015,46003,3101546003
"1297",31015,46015,3101546015
"1298",31015,46043,3101546043
"1299",31015,46067,3101546067
"1300",31015,46085,3101546085
"1302",38085,46041,3808546041
"1303",38085,46129,3808546129
"1304",38085,46137,3808546137
"1305",38029,46041,3802946041
"1306",38029,46129,3802946129
"1307",38029,46137,3802946137
"1309",38021,46037,3802146037
"1310",38021,46045,3802146045
"1311",38021,46049,3802146049
"1312",38021,46115,3802146115
"1314",38021,46129,3802146129
"1315",30011,46093,3001146093
"1316",31103,46085,3110346085
"1318",31103,46095,3110346095
"1319",31103,46071,3110346071
"1321",38077,46037,3807746037
"1323",27011,46029,2701146029
"1324",27011,46037,2701146037
"1326",31045,46071,3104546071
"1327",19167,46125,1916746125
"1328",31165,56031,3116556031
"1329",31165,56009,3116556009
"1331",31161,46071,3116146071
"1332",27173,46029,2717346029
