cofip_nbr,mean_temp_jan_nbr,mean_sunlight_jan_nbr,mean_sunlight_july_nbr,mean_humidity_july_nbr,top_code_nbr,pct_water_nbr,ln_pct_water_nbr,jan_tmp_z_nbr,jan_sun_z_nbr,jul_temp_z_nbr,jul_hum_z_nbr,top_z_nbr,pct_water_z_nbr,amen_scale_nbr
6017,40.4,137,73.5,28,21,4.46,6.099,0.62369,-0.43682,1.28162,1.91635,1.83868,0.87758,6.1
6019,45.3,185,80.6,22,21,0.91,4.509,1.02905,1.00842,-0.20539,2.32709,1.83868,0.03595,6.03
6021,43.7,137,78.9,28,21,0.93,4.534,0.89669,-0.43682,0.1139,1.91635,1.83868,0.04897,4.38
6023,47.3,168,56.3,60,21,11.84,7.076,1.1945,0.49656,6.50064,-0.27427,1.83868,1.39483,11.15
6025,53.9,258,92,18,11,6.85,6.529,1.74049,3.20637,-2.52989,2.60092,0.32201,1.10527,6.45
6027,37.1,258,76.6,18,17,0.35,3.552,0.3507,3.20637,0.16386,2.60092,1.23201,-0.47077,7.08
6029,47.5,185,83.9,22,21,0.25,3.22,1.21104,1.00842,-0.9032,2.32709,1.83868,-0.6465,4.84
6031,45,185,79.6,22,9,0.15,2.714,1.00423,1.00842,0.03765,2.32709,0.01867,-0.91435,3.48
6033,42.3,137,73.4,28,21,5.35,6.282,0.78087,-0.43682,1.47215,1.91635,1.83868,0.97433,6.55
6035,29.9,200,69.2,19,11,3.46,5.845,-0.24493,1.46005,1.53342,2.53247,0.32201,0.74304,6.35
6037,54.5,224,68.5,68,21,14.57,7.284,1.79012,2.18267,3.84046,-0.82193,1.83868,1.50471,10.33
6039,45.3,185,80.2,22,21,0.69,4.241,1.02905,1.00842,-0.09784,2.32709,1.83868,-0.10614,6
6041,46.9,168,66.7,60,16,37.24,8.223,1.16141,0.49656,3.66985,-0.27427,1.08035,2.00152,8.14
6043,36.7,185,66.7,22,21,0.8,4.38,0.31761,1.00842,2.79131,2.32709,1.83868,-0.03249,8.25
6045,47.9,168,56.5,60,20,9.52,6.859,1.24413,0.49656,6.49855,-0.27427,1.68702,1.27947,10.93
6047,45.1,185,78.3,22,4,2.19,5.388,1.0125,1.00842,0.39581,2.32709,-0.73966,0.50092,4.51
6049,28.6,137,65.8,28,12,6.17,6.424,-0.35247,-0.43682,2.33564,1.91635,0.47368,1.0497,4.99
6051,32.8,200,69.3,19,21,2.79,5.632,-0.00502,1.46005,1.75632,2.53247,1.83868,0.62998,8.21
6053,50,171,61.9,74,21,11.91,7.083,1.41786,0.58689,5.22747,-1.23267,1.83868,1.39808,9.24
6055,47.4,168,67.3,60,20,4.37,6.081,1.20277,0.49656,3.55158,-0.27427,1.68702,0.86778,7.53
6057,34.3,137,63.5,28,21,1.73,5.155,0.11907,-0.43682,3.44501,1.91635,1.83868,0.37746,7.26
6059,54.2,224,71.7,68,16,16.69,7.42,1.76531,2.18267,2.9542,-0.82193,1.08035,1.57675,8.74
6061,44.9,137,77.4,28,21,6.39,6.46,0.99596,-0.43682,0.62057,1.91635,1.83868,1.06826,6
6063,33.7,137,66.3,28,21,2.29,5.433,0.06943,-0.43682,2.64047,1.91635,1.83868,0.52469,6.55
6065,52.1,224,76,68,21,1.31,4.875,1.59158,2.18267,1.61715,-0.82193,1.83868,0.2295,6.64
6067,45.1,137,75.2,28,4,3.01,5.707,1.0125,-0.43682,1.22934,1.91635,-0.73966,0.66982,3.65
6069,48.7,171,66.5,74,20,0.12,2.491,1.31031,0.58689,3.87866,-1.23267,1.68702,-1.03218,5.2
6071,52,224,78.2,68,11,0.22,3.1,1.58331,2.18267,1.017,-0.82193,0.32201,-0.71033,3.57
6073,55.2,224,69.6,68,21,7.1,6.566,1.84803,2.18267,3.60498,-0.82193,1.83868,1.1244,9.78
6075,50.9,171,58.5,74,16,75,8.923,1.49231,0.58689,6.21918,-1.23267,1.08035,2.37209,10.52
6077,44.6,185,76.7,22,4,1.89,5.241,0.97114,1.00842,0.78295,2.32709,-0.73966,0.42308,4.77
6079,51.9,171,64.7,74,16,8.61,6.758,1.57504,0.58689,4.63826,-1.23267,1.08035,1.22616,7.87
6081,49.5,171,65,74,16,39.4,8.279,1.3765,0.58689,4.35088,-1.23267,1.08035,2.03131,8.19
6083,53.2,224,66.6,68,21,27.74,7.928,1.68258,2.18267,4.23936,-0.82193,1.83868,1.84554,10.97
6085,49.5,171,68.4,74,20,1.02,4.625,1.3765,0.58689,3.43669,-1.23267,1.68702,0.09731,5.95
6087,48.8,171,62.7,74,16,26.65,7.888,1.31859,0.58689,4.90901,-1.23267,1.08035,1.8243,8.49
6089,33.7,137,68.8,28,21,1.61,5.081,0.06943,-0.43682,1.96827,1.91635,1.83868,0.33879,5.69
6091,29.1,137,64,28,21,0.89,4.492,-0.31111,-0.43682,2.86269,1.91635,1.83868,0.02671,5.9
6093,33.9,168,71.9,60,21,0.95,4.558,0.08598,0.49656,1.15197,-0.27427,1.83868,0.06176,3.36
6095,45,137,75.7,28,16,8.68,6.766,1.00423,-0.43682,1.08628,1.91635,1.08035,1.23036,5.88
6097,46.1,168,66.8,60,20,10.87,6.991,1.09523,0.49656,3.57405,-0.27427,1.68702,1.34946,7.93
6099,45.1,185,76.3,22,20,1.34,4.895,1.0125,1.00842,0.93357,2.32709,1.68702,0.24007,7.21
6101,45.5,137,78.8,28,1,1.01,4.617,1.04559,-0.43682,0.29582,1.91635,-1.19466,0.09285,1.72
6103,45.2,137,82.3,28,21,0.38,3.638,1.02078,-0.43682,-0.6711,1.91635,1.83868,-0.42535,3.24
6105,36.5,168,70.8,60,21,0.9,4.502,0.30106,0.49656,1.67168,-0.27427,1.83868,0.032,4.07
6107,45.6,185,80.1,22,21,0.31,3.439,1.05387,1.00842,-0.04511,2.32709,1.83868,-0.53054,5.65
6109,43.9,185,77,22,21,1.71,5.141,0.91323,1.00842,0.642,2.32709,1.83868,0.37033,7.1
6111,53.8,224,65.2,68,21,16.41,7.403,1.73222,2.18267,4.66747,-0.82193,1.83868,1.56774,11.17
6113,45.4,137,76.9,28,20,1.02,4.625,1.03732,-0.43682,0.79808,1.91635,1.68702,0.09699,5.1
