year,cofip_sub,cofip_nbr
1999,41021,53039
1999,16009,53063
1999,41059,53013
1999,41059,53071
1999,16009,53075
1999,41027,53059
1999,16017,53051
1999,41051,53011
1999,24001,54057
1999,39105,54053
1999,24043,54065
1999,39029,54029
1999,51091,54075
1999,39081,54069
1999,42125,54069
1999,42125,54009
1999,39105,54107
1999,42051,54061
1999,51027,54059
1999,39053,54053
1999,39053,54011
1999,42059,54061
1999,24023,54077
1999,39013,54069
1999,39167,54107
1999,42059,54103
1999,51043,54003
1999,42051,54077
1999,51071,54055
1999,24043,54003
1999,39105,54035
1999,39009,54107
1999,39167,54095
1999,21159,54059
1999,51165,54071
1999,51107,54037
1999,51005,54025
1999,51091,54071
1999,51043,54037
1999,42125,54029
1999,21159,54099
1999,51165,54031
1999,51015,54071
1999,51069,54003
1999,24023,54057
1999,24001,54027
1999,51021,54055
1999,39081,54009
1999,51017,54075
1999,24001,54065
1999,51071,54063
1999,51069,54031
1999,39167,54073
1999,42007,54029
1999,42059,54051
1999,39111,54051
1999,21195,54059
1999,42125,54051
1999,51071,54089
1999,51045,54063
1999,21127,54099
1999,51171,54031
1999,51069,54027
1999,51069,54065
1999,39087,54011
1999,24043,54037
1999,51069,54037
1999,39111,54103
1999,51027,54047
1999,24023,54023
1999,39111,54095
1999,51185,54055
1999,39081,54029
1999,39013,54051
1999,39087,54099
1999,51185,54047
1999,51017,54025
1999,21019,54099
1999,51005,54063
1999,19005,55023
1999,27169,55011
1999,27169,55063
1999,27049,55091
1999,17201,55105
1999,17111,55059
1999,19061,55043
1999,27115,55031
1999,17201,55045
1999,27157,55011
1999,19043,55023
1999,26071,55041
1999,27017,55031
1999,17177,55065
1999,17177,55045
1999,26053,55051
1999,27025,55013
1999,17007,55127
1999,19043,55043
1999,17097,55059
1999,17085,55065
1999,27163,55093
1999,26071,55125
1999,17007,55105
1999,27055,55123
1999,27163,55095
1999,27055,55063
1999,17111,55127
1999,27157,55091
1999,27037,55093
1999,27115,55013
1999,26043,55075
1999,27169,55121
1999,26071,55037
1999,26109,55075
1999,26053,55125
1999,27049,55093
1999,27163,55109
1999,26043,55037
1999,19005,55123
1999,27137,55031
1999,27025,55095
1999,17085,55043
1999,46081,56011
1999,30075,56033
1999,31105,56021
1999,30009,56003
1999,46033,56045
1999,16043,56039
1999,46019,56011
1999,46081,56045
1999,49043,56041
1999,8069,56021
1999,30031,56029
1999,30011,56011
1999,16081,56039
1999,16019,56023
1999,49033,56023
1999,31165,56015
1999,8123,56021
1999,46033,56027
1999,30003,56033
1999,31157,56015
1999,8057,56001
1999,30075,56011
1999,30009,56029
1999,31165,56027
1999,46103,56045
1999,8107,56007
1999,8057,56007
1999,30031,56039
1999,8081,56007
1999,16029,56023
1999,16007,56023
1999,31007,56021
1999,31007,56015
1999,30067,56029
1999,49043,56037
1999,8069,56001
1999,8081,56037
1999,16019,56039
1999,49009,56037
1999,30003,56003
1999,30075,56005
1999,46047,56027
1999,49033,56041
2000,4027,6025
2000,4015,6071
2000,4012,6071
2000,4012,6025
2000,4012,6065
2000,4001,8083
2000,1003,12033
2000,1061,12131
2000,1039,12131
2000,1053,12091
2000,1069,12063
2000,1061,12063
2000,1039,12091
2000,1053,12033
2000,1061,12059
2000,1053,12113
2000,12065,13027
2000,12039,13087
2000,1113,13053
2000,1017,13145
2000,12065,13275
2000,12089,13049
2000,12073,13131
2000,1019,13055
2000,12003,13065
2000,1113,13259
2000,1081,13145
2000,1081,13215
2000,12047,13101
2000,1005,13061
2000,1071,13083
2000,1019,13115
2000,1069,13099
2000,12039,13131
2000,1017,13285
2000,12079,13185
2000,1067,13099
2000,1113,13215
2000,1111,13285
2000,1029,13233
2000,1111,13149
2000,12063,13253
2000,1005,13259
2000,12003,13049
2000,12073,13275
2000,1069,13253
2000,1049,13083
2000,12023,13065
2000,1029,13143
2000,12003,13299
2000,12047,13185
2000,1005,13239
2000,1111,13045
2000,1029,13045
2000,1049,13055
2000,1019,13233
2000,12079,13027
2000,12089,13039
2000,12023,13101
2000,1067,13061
2000,1049,13295
2000,12039,13253
2000,17075,18111
2000,17023,18167
2000,17185,18051
2000,17059,18129
2000,17185,18083
2000,17091,18111
2000,17031,18089
2000,17033,18153
2000,17101,18083
2000,17033,18083
2000,17091,18089
2000,17183,18007
2000,17075,18007
2000,17183,18171
2000,17193,18129
2000,17045,18165
2000,17023,18153
2000,17183,18165
2000,17193,18051
2000,17045,18167
2000,17197,18089
2000,17071,19057
2000,17085,19097
2000,17071,19111
2000,17067,19111
2000,17015,19097
2000,17161,19115
2000,17015,19045
2000,17085,19061
2000,17131,19115
2000,17131,19057
2000,17161,19139
2000,17161,19163
2000,17195,19045
2000,17161,19045
2000,8009,20129
2000,8063,20181
2000,8125,20023
2000,8061,20071
2000,8017,20071
2000,8099,20075
2000,8099,20071
2000,8017,20199
2000,8099,20187
2000,8009,20187
2000,8063,20023
2000,8063,20199
2000,18163,21101
2000,17069,21055
2000,17003,21007
2000,18019,21111
2000,18019,21223
2000,18019,21185
2000,17059,21225
2000,18173,21101
2000,18025,21163
2000,18029,21015
2000,18147,21059
2000,17153,21007
2000,18061,21093
2000,18061,21163
2000,18155,21015
2000,18077,21041
2000,17153,21145
2000,17127,21145
2000,18061,21111
2000,17069,21225
2000,18123,21163
2000,18129,21101
2000,18123,21091
2000,18147,21091
2000,18123,21027
2000,18043,21111
2000,18155,21077
2000,17127,21139
2000,18115,21015
2000,17151,21139
2000,17069,21139
2000,18155,21041
2000,18129,21225
2000,18173,21059
2000,18077,21223
2000,5139,22027
2000,5003,22111
2000,5091,22017
2000,5139,22111
2000,5027,22119
2000,5073,22119
2000,5017,22035
2000,5091,22015
2000,5139,22067
2000,5003,22067
2000,5017,22067
2000,5027,22027
2000,5017,22123
2000,5073,22015
2000,10005,24045
2000,10005,24019
2000,10005,24011
2000,10001,24035
2000,10001,24011
2000,10003,24029
2000,10003,24015
2000,10001,24029
2000,10005,24047
2000,9005,25013
2000,9013,25027
2000,9003,25013
2000,9013,25013
2000,9015,25027
2000,9005,25003
2000,18087,26023
2000,18141,26021
2000,18039,26149
2000,18151,26023
2000,18087,26149
2000,18151,26059
2000,18141,26027
2000,18091,26021
2000,18039,26027
2000,19191,27055
2000,19143,27063
2000,19109,27043
2000,19131,27099
2000,19063,27091
2000,19143,27105
2000,19109,27091
2000,19119,27133
2000,19005,27055
2000,19191,27045
2000,19119,27105
2000,19089,27099
2000,19189,27043
2000,19195,27047
2000,19189,27047
2000,19195,27099
